,,Rig Unit,Report Date,Phase,Activity,Duration,NPT,Summary,,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,29-Dec-2012 18:00,"MOB, RU",UNITMOV,1.0,,Reposition Hallco mast unit from SA - to SA-22. R/U mast unit to support slickline job.,,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,29-Dec-2012 19:00,"MOB, RU",SLKPLUG,2.5,,"R/U Slickline, presure test PCE 250/2000 psi 5 minutes - OK. RIH with 3"" GS pulling tool, latch and retrieve flapper valve @ depth 478'. POH.",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,29-Dec-2012 21:30,"INTER, INTER",SLKDMG,2.5,,"M/U 2.72"" TGC tools, RIH to HUD @ 12.230' WLM POH and R/D Slickline unit.",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 0:00,"INTER, INTER",R/U,3.0,,"R/U Mast Unit. M/U RMT-EU - Capacitance tools. Perform surface calibration and test on Q-test sub.
",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 3:00,"INTER, INTER",TIH,1.0,,"RIH RMT Tools @ 100 FPM, stop at depth 3100' due to high inclination.
",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 4:00,"INTER, INTER",TIH,5.0,,"POH tools, Line up pump hose to Hallco pumping tee. Attempted to pump while RIH with rate up to 2 BPM 1400 psi but unsuccessful to get the RMT tool pass thru high dog leg at 3100'. ",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 9:00,"INTER, INTER",TOH,2.0,,POOH RMT tools. Added roller into toolstring.,,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 11:00,"INTER, INTER",TIH,6.5,,"RIH RMT tools with roller to HUD 3500' pumped up to 6 BPM 850 psi tools moved down 50' FPM to 12,235'. Correlate depth with open hole log. 

Total FSW4%KCL pumped 958 bbls.",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 17:30,"INTER, INTER",LOGWL,3.5,,"Pull up with logging speed 10 fpm and start to record 1st pulse neutron log data from depth 12,200' to 10,550'.",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 21:00,"INTER, INTER",TIH,1.0,,"RIH RMT Tools with sped 50 FPM and pump rate 4 BPM to 12,200'. 

Total Fluid injected 203 bbls",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,30-Dec-2012 22:00,"INTER, INTER",LOGWL,2.0,,"Pick up with logging speed 10 fpm and start to record 2nd pulse neutron log data from depth 12,200' to 10,550'.",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,31-Dec-2012 0:00,"DEMOB, RD",TOH,4.0,,"Continue POH RMT tools to surface.

 ",,,,,,,,,,,,,,,,,
,,Mast Unit-2  Remote,31-Dec-2012 4:00,"DEMOB, RD",R/D,2.0,,"L/D Hallco lubricator and perform housekeeping.

Final report of Serang SA-22 RMT logging on Dec 31, 2012 at 06:00 hrs.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,28-Dec-2012 18:00,"MOB, MOVEON",ANCR,6.0,,"Commencing operation on Serang - 22.
MTR- Barge under towed from Attaka Barfo Platform to Attaka Serang Platform.

BOP stump test:
1. Blind ram#3, inside CK manual#5, valve 8, 14, 16	: 300/3000 psi 10 mts.
2. Blind ram#3, inside CK manual#5, valve 8, 9, 11, 12, 16	: 300/3000 psi 10 mts.
3. Blind ram#3, valve 8, 10, 11, 12, 16			: 300/3000 psi 10 mts.
4. VBR#2, kill valve#6, valve 8, 9, 11, 13, 16, TIW#18	:  300/3000 psi 10 mts.
5. VBR#2, kill valve#7, valve 9, 10,11,14,16, TIW valve#18	:  300/3000 psi 10 mts.
6. Annular#1, Manual#5, Valve 8, 14, 16, TIW#18		:  300/3000 psi 10 mts.
7. VBR#1, Valve 8, 9, 11, 13, 16. TIW valve#18		:  300/3000 psi 10 mts.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 0:00,"MOB, MOVEON",ANCR,5.0,,Towing from Attaka Brafo Platform to Attaka Serang Platform.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 5:00,"MOB, MOVEON",ANCR,8.0,,AHT T. Attaka and Kittiwake ran and dropped all anchors.,,,,,,,,,,,,,,,,,
